feature_name,dataset_name,condition_name,target_name,score,p_value,correlation,selected,feature_group,interpretation,selection_split,overlaps_manual_19
vertical__maximum,XJTU-SY,condition_1_35Hz12kN,rul,0.20099398483833752,1.596460411218523e-05,0.20099398483833752,True,time_domain,vertical channel maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__absolute_maximum,XJTU-SY,condition_1_35Hz12kN,rul,0.12594433545960798,0.007213169748093983,0.12594433545960798,True,energy,vertical channel absolute maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
horizontal__maximum,XJTU-SY,condition_1_35Hz12kN,rul,0.04193677519249295,0.3726677970150667,0.04193677519249295,True,time_domain,horizontal channel maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
horizontal__minimum,XJTU-SY,condition_1_35Hz12kN,rul,0.040403679987257184,0.3904123568379125,0.040403679987257184,True,time_domain,horizontal channel minimum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__minimum,XJTU-SY,condition_1_35Hz12kN,rul,0.035981716425469185,0.4443867902016859,-0.035981716425469185,True,time_domain,vertical channel minimum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
horizontal__absolute_maximum,XJTU-SY,condition_1_35Hz12kN,rul,0.03539192754389322,0.4518933103834701,0.03539192754389322,True,energy,horizontal channel absolute maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__median,XJTU-SY,condition_1_35Hz12kN,rul,0.031177327916756724,0.5075652003240807,-0.031177327916756724,True,time_domain,vertical channel median statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
horizontal__median,XJTU-SY,condition_1_35Hz12kN,rul,0.0272192903267348,0.5629419478454442,-0.0272192903267348,True,time_domain,horizontal channel median statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__length,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,shape,vertical channel length statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__root_mean_square,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,energy,vertical channel root mean square statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
vertical__variance,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,vertical channel variance statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
vertical__standard_deviation,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,vertical channel standard deviation statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
horizontal__sum_values,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,horizontal channel sum values statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
vertical__mean,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,vertical channel mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
horizontal__root_mean_square,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,energy,horizontal channel root mean square statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
horizontal__variance,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,horizontal channel variance statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
horizontal__standard_deviation,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,horizontal channel standard deviation statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
horizontal__length,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,shape,horizontal channel length statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
horizontal__mean,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,horizontal channel mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,True
vertical__sum_values,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,vertical channel sum values statistic; selected on train bearings only to avoid held-out leakage.,train_only,False
